State,Year,Type,Gender,Age_group,Total,Total Population,totalPerCapita,LitRate,Annual Rainfall,Annual Temperature Anomaly,5 Year Temperature Anomaly,10 Year Temperature Anomaly,Total Area,Total Production,Total Yield,Most Cultivated Crop,MC Area,MC Production,MC Yield,Net State Domestic Product,Per Capita Income,Decadal Growth ,Rural Population ,Value Added by Agriculture
Andhra Pradesh,2006,By Consuming Insecticides,Male,45-59,858,80395.50000000003,0.010672239117861,64.065,2850.7,0.2200416666666666,0.21025,0.2759166666666667,11596887.0,1371878666.0,215223.87,Rice,3977890.0,11872130.0,125.97,128149.75,27179.0,12.845,55881.49999999999,29302.56
Andhra Pradesh,2006,By Consuming Insecticides,Female,60+,124,80395.50000000003,0.0015423748841664,64.065,2850.7,0.2200416666666666,0.21025,0.2759166666666667,11596887.0,1371878666.0,215223.87,Rice,3977890.0,11872130.0,125.97,128149.75,27179.0,12.845,55881.49999999999,29302.56
Andhra Pradesh,2006,By Consuming Insecticides,Male,60+,233,80395.50000000003,0.0028981721613771,64.065,2850.7,0.2200416666666666,0.21025,0.2759166666666667,11596887.0,1371878666.0,215223.87,Rice,3977890.0,11872130.0,125.97,128149.75,27179.0,12.845,55881.49999999999,29302.56
Andhra Pradesh,2007,By Consuming Insecticides,Female,0-14,43,81232.60000000003,0.0005293441303122,64.78399999999999,2923.1,0.2082916666666666,0.265125,0.2845416666666666,11717000.0,48749000.0,2351.85,Rice,3984000.0,13324000.0,137.58,141609.69,29797.0,12.496,55977.59999999999,30052.2
Andhra Pradesh,2007,By Consuming Insecticides,Male,0-14,40,81232.60000000003,0.0004924131444764,64.78399999999999,2923.1,0.2082916666666666,0.265125,0.2845416666666666,11717000.0,48749000.0,2351.85,Rice,3984000.0,13324000.0,137.58,141609.69,29797.0,12.496,55977.59999999999,30052.2
Andhra Pradesh,2007,By Consuming Insecticides,Female,15-29,654,81232.60000000003,0.0080509549121904,64.78399999999999,2923.1,0.2082916666666666,0.265125,0.2845416666666666,11717000.0,48749000.0,2351.85,Rice,3984000.0,13324000.0,137.58,141609.69,29797.0,12.496,55977.59999999999,30052.2
Andhra Pradesh,2007,By Consuming Insecticides,Male,15-29,995,81232.60000000003,0.0122487769688524,64.78399999999999,2923.1,0.2082916666666666,0.265125,0.2845416666666666,11717000.0,48749000.0,2351.85,Rice,3984000.0,13324000.0,137.58,141609.69,29797.0,12.496,55977.59999999999,30052.2
Andhra Pradesh,2007,By Consuming Insecticides,Female,30-44,483,81232.60000000003,0.0059458887195534,64.78399999999999,2923.1,0.2082916666666666,0.265125,0.2845416666666666,11717000.0,48749000.0,2351.85,Rice,3984000.0,13324000.0,137.58,141609.69,29797.0,12.496,55977.59999999999,30052.2
Andhra Pradesh,2007,By Consuming Insecticides,Male,30-44,1326,81232.60000000003,0.0163234957393952,64.78399999999999,2923.1,0.2082916666666666,0.265125,0.2845416666666666,11717000.0,48749000.0,2351.85,Rice,3984000.0,13324000.0,137.58,141609.69,29797.0,12.496,55977.59999999999,30052.2
Andhra Pradesh,2007,By Consuming Insecticides,Female,45-59,288,81232.60000000003,0.0035453746402306,64.78399999999999,2923.1,0.2082916666666666,0.265125,0.2845416666666666,11717000.0,48749000.0,2351.85,Rice,3984000.0,13324000.0,137.58,141609.69,29797.0,12.496,55977.59999999999,30052.2
Andhra Pradesh,2007,By Consuming Insecticides,Male,45-59,885,81232.60000000003,0.010894640821542,64.78399999999999,2923.1,0.2082916666666666,0.265125,0.2845416666666666,11717000.0,48749000.0,2351.85,Rice,3984000.0,13324000.0,137.58,141609.69,29797.0,12.496,55977.59999999999,30052.2
Andhra Pradesh,2007,By Consuming Insecticides,Female,60+,134,81232.60000000003,0.0016495840339962,64.78399999999999,2923.1,0.2082916666666666,0.265125,0.2845416666666666,11717000.0,48749000.0,2351.85,Rice,3984000.0,13324000.0,137.58,141609.69,29797.0,12.496,55977.59999999999,30052.2
Andhra Pradesh,2007,By Consuming Insecticides,Male,60+,453,81232.60000000003,0.0055765788611961,64.78399999999999,2923.1,0.2082916666666666,0.265125,0.2845416666666666,11717000.0,48749000.0,2351.85,Rice,3984000.0,13324000.0,137.58,141609.69,29797.0,12.496,55977.59999999999,30052.2
Andhra Pradesh,2008,By Consuming Insecticides,Female,0-14,44,82069.70000000004,0.0005361296556463,65.50299999999999,2940.8,0.248,0.2716666666666666,0.2792916666666666,12499189.0,1015251164.0,159577.71,Rice,4387216.0,14241133.0,135.31,159269.59,33217.0,12.146999999999998,56073.69999999999,36168.88
Andhra Pradesh,2008,By Consuming Insecticides,Male,0-14,31,82069.70000000004,0.0003777277119326,65.50299999999999,2940.8,0.248,0.2716666666666666,0.2792916666666666,12499189.0,1015251164.0,159577.71,Rice,4387216.0,14241133.0,135.31,159269.59,33217.0,12.146999999999998,56073.69999999999,36168.88
Andhra Pradesh,2008,By Consuming Insecticides,Female,15-29,650,82069.70000000004,0.0079200971856848,65.50299999999999,2940.8,0.248,0.2716666666666666,0.2792916666666666,12499189.0,1015251164.0,159577.71,Rice,4387216.0,14241133.0,135.31,159269.59,33217.0,12.146999999999998,56073.69999999999,36168.88
Andhra Pradesh,2008,By Consuming Insecticides,Male,15-29,1005,82069.70000000004,0.0122456887255588,65.50299999999999,2940.8,0.248,0.2716666666666666,0.2792916666666666,12499189.0,1015251164.0,159577.71,Rice,4387216.0,14241133.0,135.31,159269.59,33217.0,12.146999999999998,56073.69999999999,36168.88
Andhra Pradesh,2008,By Consuming Insecticides,Female,30-44,466,82069.70000000004,0.0056781004438909,65.50299999999999,2940.8,0.248,0.2716666666666666,0.2792916666666666,12499189.0,1015251164.0,159577.71,Rice,4387216.0,14241133.0,135.31,159269.59,33217.0,12.146999999999998,56073.69999999999,36168.88
Andhra Pradesh,2008,By Consuming Insecticides,Male,30-44,1328,82069.70000000004,0.0161813677885991,65.50299999999999,2940.8,0.248,0.2716666666666666,0.2792916666666666,12499189.0,1015251164.0,159577.71,Rice,4387216.0,14241133.0,135.31,159269.59,33217.0,12.146999999999998,56073.69999999999,36168.88
Andhra Pradesh,2008,By Consuming Insecticides,Female,45-59,190,82069.70000000004,0.0023151053312001,65.50299999999999,2940.8,0.248,0.2716666666666666,0.2792916666666666,12499189.0,1015251164.0,159577.71,Rice,4387216.0,14241133.0,135.31,159269.59,33217.0,12.146999999999998,56073.69999999999,36168.88
Andhra Pradesh,2008,By Consuming Insecticides,Male,45-59,815,82069.70000000004,0.0099305833943586,65.50299999999999,2940.8,0.248,0.2716666666666666,0.2792916666666666,12499189.0,1015251164.0,159577.71,Rice,4387216.0,14241133.0,135.31,159269.59,33217.0,12.146999999999998,56073.69999999999,36168.88
Andhra Pradesh,2008,By Consuming Insecticides,Female,60+,90,82069.70000000004,0.0010966288410948,65.50299999999999,2940.8,0.248,0.2716666666666666,0.2792916666666666,12499189.0,1015251164.0,159577.71,Rice,4387216.0,14241133.0,135.31,159269.59,33217.0,12.146999999999998,56073.69999999999,36168.88
Andhra Pradesh,2008,By Consuming Insecticides,Male,60+,310,82069.70000000004,0.0037772771193266,65.50299999999999,2940.8,0.248,0.2716666666666666,0.2792916666666666,12499189.0,1015251164.0,159577.71,Rice,4387216.0,14241133.0,135.31,159269.59,33217.0,12.146999999999998,56073.69999999999,36168.88
Andhra Pradesh,2009,By Consuming Insecticides,Female,0-14,24,82906.80000000005,0.0002894816830465,66.22199999999998,2145.0,0.4641666666666666,0.2835,0.2859166666666666,11227223.0,1185865930.0,174554.87,Rice,3440736.0,10838267.0,129.57,163340.65,33733.0,11.797999999999998,56169.79999999999,35363.93
Andhra Pradesh,2009,By Consuming Insecticides,Male,0-14,13,82906.80000000005,0.0001568025783168,66.22199999999998,2145.0,0.4641666666666666,0.2835,0.2859166666666666,11227223.0,1185865930.0,174554.87,Rice,3440736.0,10838267.0,129.57,163340.65,33733.0,11.797999999999998,56169.79999999999,35363.93
Andhra Pradesh,2009,By Consuming Insecticides,Female,15-29,457,82906.80000000005,0.0055122137146772,66.22199999999998,2145.0,0.4641666666666666,0.2835,0.2859166666666666,11227223.0,1185865930.0,174554.87,Rice,3440736.0,10838267.0,129.57,163340.65,33733.0,11.797999999999998,56169.79999999999,35363.93
Andhra Pradesh,2009,By Consuming Insecticides,Male,15-29,814,82906.80000000005,0.0098182537499939,66.22199999999998,2145.0,0.4641666666666666,0.2835,0.2859166666666666,11227223.0,1185865930.0,174554.87,Rice,3440736.0,10838267.0,129.57,163340.65,33733.0,11.797999999999998,56169.79999999999,35363.93
Andhra Pradesh,2009,By Consuming Insecticides,Female,30-44,382,82906.80000000005,0.0046075834551568,66.22199999999998,2145.0,0.4641666666666666,0.2835,0.2859166666666666,11227223.0,1185865930.0,174554.87,Rice,3440736.0,10838267.0,129.57,163340.65,33733.0,11.797999999999998,56169.79999999999,35363.93
Andhra Pradesh,2009,By Consuming Insecticides,Male,30-44,1322,82906.80000000005,0.0159456160411449,66.22199999999998,2145.0,0.4641666666666666,0.2835,0.2859166666666666,11227223.0,1185865930.0,174554.87,Rice,3440736.0,10838267.0,129.57,163340.65,33733.0,11.797999999999998,56169.79999999999,35363.93
Andhra Pradesh,2009,By Consuming Insecticides,Female,45-59,245,82906.80000000005,0.002955125514433,66.22199999999998,2145.0,0.4641666666666666,0.2835,0.2859166666666666,11227223.0,1185865930.0,174554.87,Rice,3440736.0,10838267.0,129.57,163340.65,33733.0,11.797999999999998,56169.79999999999,35363.93
Andhra Pradesh,2009,By Consuming Insecticides,Male,45-59,862,82906.80000000005,0.0103972171160869,66.22199999999998,2145.0,0.4641666666666666,0.2835,0.2859166666666666,11227223.0,1185865930.0,174554.87,Rice,3440736.0,10838267.0,129.57,163340.65,33733.0,11.797999999999998,56169.79999999999,35363.93
Andhra Pradesh,2009,By Consuming Insecticides,Female,60+,88,82906.80000000005,0.0010614328378371,66.22199999999998,2145.0,0.4641666666666666,0.2835,0.2859166666666666,11227223.0,1185865930.0,174554.87,Rice,3440736.0,10838267.0,129.57,163340.65,33733.0,11.797999999999998,56169.79999999999,35363.93
